,Bill,Sponsor,Ayes,Nays,Abstentions,Venue,Sponsor Last Names,Dem Sponsors,Rep Sponsors
1,AB1,Cooper (A) ,68,1,12,Floor,['Cooper (A) '],1,0
2,AB2,"Santiago (A) , Bonta (A) , Cervantes (A) , Chiu (A) , Friedman (A) , Gonzalez (A) , McCarty (A) , Quirk-Silva (A) ",72,1,8,Floor,"['Santiago (A) ', ' Bonta (A) ', ' Cervantes (A) ', ' Chiu (A) ', ' Friedman (A) ', ' Gonzalez (A) ', ' McCarty (A) ', ' Quirk-Silva (A) ']",8,0
4,AB4,"Arambula (A) , Bonta (A) , Chiu (A) , Gonzalez (A) , Santiago (A) ",51,17,12,Floor,"['Arambula (A) ', ' Bonta (A) ', ' Chiu (A) ', ' Gonzalez (A) ', ' Santiago (A) ']",5,0
5,AB5,Gonzalez (A) ,59,15,6,Floor,['Gonzalez (A) '],1,0
6,AB6,"Reyes (A) , McCarty (A) ",72,1,8,Floor,"['Reyes (A) ', ' McCarty (A) ']",2,0
7,AB7,"Chu (A) , Gonzalez (A) , Obernolte (A) ",72,1,8,Floor,"['Chu (A) ', ' Gonzalez (A) ', ' Obernolte (A) ']",2,1
8,AB8,"Chu (A) , Eduardo Garcia (A) ",62,8,10,Floor,"['Chu (A) ', ' Eduardo Garcia (A) ']",1,0
9,AB9,"Reyes (A) , Friedman (A) , Waldron (A) ",53,5,22,Floor,"['Reyes (A) ', ' Friedman (A) ', ' Waldron (A) ']",2,1
10,AB10,"Chiu (A) , Bonta (A) , Maienschein (A) , Reyes (A) , Wicks (A) ",77,1,3,Floor,"['Chiu (A) ', ' Bonta (A) ', ' Maienschein (A) ', ' Reyes (A) ', ' Wicks (A) ']",5,0
12,AB12,"Irwin (A) , Ting (A) ",53,13,14,Floor,"['Irwin (A) ', ' Ting (A) ']",2,0
15,AB15,"Nazarian (A) , McCarty (A) , Ting (A) ",77,1,3,Floor,"['Nazarian (A) ', ' McCarty (A) ', ' Ting (A) ']",3,0
16,AB16,Luz Rivas (A) ,78,1,2,Floor,['Luz Rivas (A) '],0,0
23,AB23,Burke (A) ,76,1,4,Floor,['Burke (A) '],1,0
25,AB25,Chau (A) ,77,1,3,Floor,['Chau (A) '],1,0
28,AB28,Obernolte (A) ,78,1,2,Floor,['Obernolte (A) '],0,1
29,AB29,Holden (A) ,57,13,10,Floor,['Holden (A) '],1,0
30,AB30,Holden (A) ,76,1,4,Floor,['Holden (A) '],1,0
32,AB32,"Bonta (A) , Chiu (A) , Gloria (A) , Gonzalez (A) , Kamlager-Dove (A) , Santiago (A) ",61,13,6,Floor,"['Bonta (A) ', ' Chiu (A) ', ' Gloria (A) ', ' Gonzalez (A) ', ' Kamlager-Dove (A) ', ' Santiago (A) ']",4,0
35,AB35,"Kalra (A) , Cristina Garcia (A) ",49,22,9,Floor,"['Kalra (A) ', ' Cristina Garcia (A) ']",1,0
37,AB37,Jones-Sawyer (A) ,69,1,10,Floor,['Jones-Sawyer (A) '],1,0
38,AB38,Wood (A) ,70,2,8,Floor,['Wood (A) '],1,0
39,AB39,"Muratsuchi (A) , McCarty (A) , Obernolte (A) ",74,1,6,Floor,"['Muratsuchi (A) ', ' McCarty (A) ', ' Obernolte (A) ']",2,1
41,AB41,Gallagher (A) ,78,1,2,Floor,['Gallagher (A) '],0,1
43,AB43,Gloria (A) ,78,1,2,Floor,['Gloria (A) '],1,0
44,AB44,Friedman (A) ,52,16,12,Floor,['Friedman (A) '],1,0
45,AB45,"Mark Stone (A) , Jones-Sawyer (A) ",47,24,9,Floor,"['Mark Stone (A) ', ' Jones-Sawyer (A) ']",0,0
47,AB47,Daly (A) ,75,1,5,Floor,['Daly (A) '],1,0
48,AB48,O'Donnell (A) ,69,1,10,Floor,"[""O'Donnell (A) ""]",1,0
